"Tick","numOfCustShowUps","numOfCharges","numOfDeadBatteries","numOfCustDel","numOfCustPickUps"
"83000","40","0","0","0","0"
"84000","40","0","0","0","0"
"85000","40","0","0","0","0"
"86000","40","0","0","0","0"
"87000","40","0","0","0","0"
"88000","40","0","0","0","0"
"89000","40","0","0","0","0"
"90000","40","0","0","0","0"
"91000","40","0","0","0","0"
"92000","40","0","0","0","0"
"93000","40","0","0","0","0"
"94000","40","0","0","0","0"
"95000","40","0","0","0","0"
"96000","40","0","0","0","0"
"97000","40","0","0","0","0"
"98000","40","0","0","0","0"
"99000","40","0","0","0","0"
"100000","40","0","0","0","0"
"101000","40","0","0","0","0"
"102000","40","0","0","0","0"
"103000","40","0","0","0","0"
"104000","40","0","0","0","0"
"105000","40","0","0","0","0"
"106000","40","0","0","0","0"
"107000","40","0","0","0","0"
"108000","40","0","0","0","0"
"109000","40","0","0","0","0"
"110000","40","0","0","0","0"
"111000","40","0","0","0","0"
"112000","40","0","0","0","0"
"113000","40","0","0","0","0"
"114000","40","0","0","0","0"
"115000","40","0","0","0","0"
"116000","40","0","0","0","0"
"117000","40","0","0","0","0"
"118000","40","0","0","0","0"
"119000","40","0","0","0","0"
"120000","40","0","0","0","0"
"121000","40","0","0","0","0"
"122000","40","0","0","0","0"
"123000","40","0","0","0","0"
"124000","40","0","0","0","0"
"125000","40","0","0","0","0"
"126000","40","0","0","0","0"
"127000","40","0","0","0","0"
"128000","40","0","0","0","0"
"129000","40","0","0","0","0"
"130000","40","0","0","0","0"
"131000","40","0","0","0","0"
"132000","40","0","0","0","0"
"133000","40","0","0","0","0"
"134000","40","0","0","0","0"
"135000","40","0","0","0","0"
"136000","40","0","0","0","0"
"137000","40","0","0","0","0"
"138000","40","0","0","0","0"
"139000","40","0","0","0","0"
"140000","40","0","0","0","0"
"141000","40","0","0","0","0"
"142000","40","0","0","0","0"
"143000","40","0","0","0","0"
"144000","40","0","0","0","0"
"145000","40","0","0","0","0"
"146000","40","0","0","0","0"
"147000","40","0","0","0","0"
"148000","40","0","0","0","0"
"149000","40","0","0","0","0"
"150000","40","0","0","0","0"
